DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
1;726;176;537;47;293;343;364;501;197;398;188;234
2;93;269;126;129;185;67;445;6;510;29;384;34
3;1605;342;608;396;188;11;44;847;220;257;0;198
4;904;316;546;139;262;558;127;397;19;399;498;126
5;1232;42;3316;614;488;57;927;1385;165;618;242;429
6;263;246;135;245;18;110;164;159;169;0;105;165
7;1517;214;2693;13;1831;944;104;130;419;1787;108;724
8;130;328;1632;111;321;212;318;64;60;553;171;250
9;1164;27;615;3;204;450;526;577;0;144;7;186
10;493;49;647;132;249;127;721;481;22;299;165;489
11;1858;18;1307;648;1278;6;2467;1062;32;210;141;3530
12;652;332;953;571;873;567;453;143;316;1017;505;642
13;963;470;1339;370;61;969;852;79;191;513;980;499
14;4926;201;2016;942;1201;729;1085;696;354;302;1061;568
15;94;266;125;125;177;63;444;6;509;33;376;35
16;866;121;1711;28;317;31;588;319;4;713;24;275
17;2885;51;3595;20;593;134;1180;1845;1;657;15;1245
18;323;8;373;14;50;164;230;201;0;238;180;213
19;2263;1194;1641;169;1783;1732;921;758;310;1859;1756;876
20;764;132;729;272;708;257;736;852;97;762;7;1277
21;130;374;316;78;310;26;740;62;222;239;75;324
22;5119;112;633;29;1367;890;408;1958;129;621;371;243
23;1361;62;119;26;390;144;27;75;0;91;27;31
24;24;1140;296;208;908;13;438;0;282;726;20;492
25;696;806;583;930;1776;5;616;44;805;763;337;1905
26;979;380;1351;89;969;675;986;582;1;974;822;13
27;488;89;1282;6;675;119;69;85;87;543;16;181
28;417;64;139;172;108;120;352;282;54;41;132;269
29;873;74;1675;21;996;414;93;71;148;657;17;268
30;421;168;497;0;235;42;479;549;8;256;14;373
31;425;131;1816;67;709;247;33;153;68;1389;279;5
32;404;15;116;0;146;211;0;108;0;434;0;110
33;349;7;723;123;81;219;902;133;0;278;224;4
34;2525;1762;1671;706;398;470;1402;1520;1650;31;222;375
35;1037;229;478;955;13;558;1;739;794;21;631;124
36;1400;398;744;889;45;681;652;993;1318;190;1522;117
37;1164;27;615;3;204;450;526;577;0;144;7;186
38;936;137;550;131;457;577;127;399;19;406;520;126
39;700;11;3304;153;1416;59;1075;690;75;565;260;930
40;2263;1194;1641;169;1783;1732;921;758;310;1859;1756;876
41;918;15;747;9;316;10;503;201;11;115;10;137
42;605;466;631;214;518;165;1183;399;159;172;120;867
43;1376;52;3853;583;626;64;924;1622;282;898;248;708
44;1406;57;932;22;297;264;5;533;21;91;44;135
45;800;111;172;71;138;256;19;201;187;49;30;145
46;735;42;233;0;256;426;0;214;0;764;0;190
47;931;35;687;54;205;985;610;191;22;1024;629;24
48;277;113;172;75;5;16;0;1;0;0;1;0
49;1400;398;744;889;45;681;652;993;1318;190;1522;117
50;1539;139;518;99;355;337;504;561;136;605;186;1183
51;1033;22;732;22;561;294;748;344;122;486;26;339
52;1223;39;308;1;781;274;12;508;0;124;77;370
53;699;327;303;127;245;267;415;389;26;348;254;224
54;487;284;530;461;370;191;1239;320;116;439;285;290
55;462;1;918;1;120;16;312;515;0;79;3;426
56;689;43;771;144;329;163;698;567;46;340;160;546
57;1368;99;681;0;384;468;374;535;0;631;12;205
58;181;163;1632;50;403;582;2;371;0;2655;592;12
59;1329;396;733;762;45;579;659;815;1234;191;1371;120
60;471;296;119;4;195;77;0;117;0;166;3;14
61;642;367;185;22;440;207;25;481;540;93;26;220
62;385;16;152;21;74;375;25;196;7;164;132;13
63;136;152;316;636;109;158;808;0;150;556;3;300
64;334;495;398;203;707;59;1016;42;1211;361;226;361
65;465;451;336;594;261;1008;151;448;321;80;794;109
66;872;375;757;227;492;323;667;503;41;361;86;162
67;137;372;190;340;4;226;375;63;240;106;251;257
68;1548;179;751;6;325;639;113;395;48;423;66;141
69;468;252;646;43;205;17;116;159;4;194;168;695
70;556;117;109;409;70;294;216;148;668;16;271;30
71;68;614;1184;224;730;7;1568;3;237;640;66;503
72;549;797;118;599;88;229;532;84;432;133;1501;133
73;836;478;171;802;18;831;707;306;558;178;690;104
74;627;385;178;247;187;280;238;190;1011;63;345;22
75;551;173;416;88;159;153;538;238;135;443;190;223
76;413;827;157;232;80;347;2912;113;996;95;690;103
77;241;58;765;40;360;11;254;91;30;201;62;140
78;872;375;757;227;492;323;667;503;41;361;86;162
79;106;11;27;0;17;72;0;48;0;18;0;7
80;371;196;117;78;9;85;300;4;806;1;137;22
81;237;88;432;195;89;22;818;355;2;366;49;242
82;454;587;199;521;68;243;472;113;691;98;466;100
83;551;106;605;375;100;382;541;288;108;112;523;209
84;645;154;159;558;13;169;192;571;1286;43;386;23
85;270;0;304;1;31;34;25;122;0;14;2;64
86;1548;179;751;6;325;639;113;395;48;423;66;141
87;184;113;859;736;1;85;936;91;283;0;454;87
88;182;94;150;265;2;108;14;17;22;15;179;9
89;33;0;23;0;0;19;0;5;0;12;7;0
90;332;196;526;358;71;224;69;147;31;199;347;47
91;206;710;75;6;104;8;12;61;12;34;9;18
