DY
6216
8
mn1;mn2;mn3;mn4;mv1;mv2;mv3;mv4
1;57.88;239.53;0.04;4.83;81.7;189.23;0.03;5.9
2;53.83;179.95;0.07;4.35;69.5;209.24;0.3;2.78
3;48.59;272.19;0.07;4.18;63.5;4798.7;0.5;1.0
4;57.58;197.24;0.03;5.39;72.41;353.93;0.26;4.15
5;58.31;571.48;0.05;4.77;84.94;1781.63;0.33;2.42
6;56.53;273.93;0.05;4.88;74.49;488.14;0.27;3.7
7;59.3;435.39;0.05;4.77;42.07;3156.01;0.26;3.95
8;53.65;316.63;0.08;4.47;87.8;1261.35;0.31;2.56
9;55.91;271.48;0.07;4.18;31.58;1895.34;0.26;3.66
10;52.75;223.01;0.06;4.69;45.15;1891.83;0.26;3.48
11;55.4;442.63;0.06;4.49;86.54;1978.45;0.27;3.26
12;60.27;327.43;0.04;5.08;32.09;1988.73;0.26;3.84
13;57.58;344.05;0.04;5.05;81.13;1071.66;0.26;3.58
14;57.82;585.16;0.05;4.8;51.37;4282.63;0.26;3.8
15;53.83;179.95;0.07;4.35;69.5;209.24;0.3;2.78
16;53.22;380.59;0.07;4.23;84.74;1260.82;0.27;3.4
17;57.71;692.61;0.06;4.64;45.85;3467.91;0.26;3.77
18;55.73;413.05;0.1;3.84;81.86;807.15;0.29;2.58
19;63.12;540.46;0.04;5.2;41.26;3298.74;0.25;4.02
20;56.51;398.98;0.05;4.83;89.7;1969.66;0.33;2.36
21;55.57;273.86;0.07;4.77;63.5;3314.73;0.5;1.0
22;48.73;389.2;0.07;4.32;58.21;4159.66;0.29;3.13
23;59.25;267.28;0.1;3.87;85.97;977.15;0.33;2.0
24;59.78;342.7;0.08;4.34;72.12;570.48;0.28;3.28
25;59.68;274.12;0.06;4.37;44.86;2599.9;0.27;3.14
26;56.35;306.98;0.05;4.71;42.46;2274.06;0.25;4.11
27;55.04;294.54;0.08;4.38;42.73;2017.49;0.26;3.88
28;51.38;188.61;0.05;4.82;52.07;1941.58;0.29;2.54
29;58.69;363.42;0.07;4.37;45.66;2638.25;0.26;3.82
30;52.82;178.49;0.05;4.67;36.48;1423.28;0.26;3.63
31;59.52;359.66;0.07;4.35;80.57;1033.86;0.29;2.81
32;62.05;107.34;0.08;4.24;42.68;1090.7;0.26;3.82
33;55.02;382.41;0.09;4.13;38.09;1807.37;0.27;3.42
34;59.56;445.02;0.06;4.48;93.84;372.67;0.02;5.94
35;58.67;212.75;0.04;4.77;73.44;250.25;0.01;6.46
36;61.01;396.37;0.05;4.74;81.39;333.82;0.02;5.99
37;55.91;271.48;0.07;4.18;31.58;1895.34;0.26;3.66
38;57.67;196.32;0.03;5.39;35.36;1415.12;0.25;4.27
39;55.21;437.07;0.08;4.36;88.96;1866.36;0.3;2.27
40;63.12;540.46;0.04;5.2;41.26;3298.74;0.25;4.02
41;51.22;169.51;0.07;4.3;36.33;1373.9;0.25;4.1
42;59.12;345.94;0.05;5.16;74.65;553.19;0.27;3.46
43;58.88;562.37;0.04;4.8;53.5;4611.86;0.33;2.4
44;57.6;249.81;0.05;4.67;44.28;2175.54;0.26;3.89
45;56.35;171.23;0.05;4.82;46.31;2028.13;0.26;3.27
46;61.75;148.66;0.07;4.28;78.55;533.38;0.26;3.67
47;55.23;359.58;0.07;4.38;43.38;2085.22;0.26;3.88
48;54.21;99.86;0.05;4.72;35.86;687.02;0.26;3.63
49;61.01;396.37;0.05;4.74;81.39;333.82;0.02;5.99
50;57.73;238.01;0.06;4.67;35.66;1650.38;0.25;4.13
51;51.46;219.42;0.07;4.33;77.01;555.91;0.26;3.91
52;53.13;294.14;0.06;4.44;40.5;2079.34;0.27;3.12
53;53.35;215.24;0.05;4.84;87.06;177.78;0.02;5.96
54;53.56;231.95;0.06;5.12;72.49;359.88;0.26;3.75
55;57.69;366.77;0.07;4.31;46.44;3176.35;0.38;1.58
56;54.41;228.59;0.05;4.72;45.56;2161.48;0.27;3.48
57;61.44;272.61;0.05;4.51;63.5;3554.87;0.5;1.0
58;57.72;476.79;0.17;3.57;88.44;809.1;0.29;3.11
59;60.13;392.81;0.05;4.68;81.05;333.01;0.02;5.94
60;48.87;204.97;0.1;3.96;63.5;2451.11;0.5;1.0
61;49.86;227.57;0.09;4.4;56.68;2331.56;0.31;2.51
62;56.01;113.0;0.05;4.74;60.88;201.32;0.02;6.03
63;53.47;485.13;0.06;4.57;71.53;2185.09;0.11;4.31
64;53.22;235.04;0.05;4.93;42.54;1947.5;0.25;4.06
65;52.42;316.11;0.06;4.49;51.05;3393.43;0.27;3.55
66;53.76;204.25;0.04;4.97;74.37;493.98;0.29;2.77
67;51.86;264.06;0.07;4.41;49.2;2234.38;0.33;2.27
68;55.26;296.61;0.06;4.51;46.84;2436.89;0.26;3.61
69;56.55;359.76;0.07;4.31;48.13;2179.75;0.3;2.35
70;54.71;252.66;0.05;4.71;55.0;4271.92;0.5;1.0
71;55.95;236.48;0.06;4.66;41.94;2369.54;0.26;3.71
72;61.76;470.96;0.07;4.77;36.6;1734.34;0.26;3.61
73;57.56;253.16;0.04;4.91;47.21;2466.43;0.26;3.6
74;58.66;226.42;0.06;4.89;30.77;1123.9;0.26;4.02
75;56.9;238.81;0.07;4.83;34.93;1798.65;0.32;3.44
76;50.27;333.78;0.07;4.49;41.88;2450.84;0.26;4.01
77;57.85;241.08;0.07;4.37;45.23;2053.54;0.26;3.99
78;53.76;204.25;0.04;4.97;74.37;493.98;0.29;2.77
79;59.64;64.08;0.05;4.4;127.0;0.01;1.0;0.0
80;47.79;269.88;0.11;3.85;101.62;199.44;0.86;0.42
81;50.09;255.75;0.07;4.14;54.86;3188.24;0.35;1.87
82;55.87;198.19;0.03;5.25;40.32;1698.44;0.26;4.01
83;55.15;250.88;0.05;5.07;46.24;1931.14;0.26;3.68
84;51.92;235.96;0.07;4.44;38.3;1544.5;0.26;3.77
85;54.48;269.7;0.08;4.4;50.0;2866.62;0.5;1.0
86;55.26;296.61;0.06;4.51;46.84;2436.89;0.26;3.61
87;49.11;257.68;0.1;3.96;48.69;2752.86;0.29;2.61
88;62.43;179.62;0.09;4.39;48.99;1511.89;0.36;1.73
89;63.93;50.77;0.06;4.36;90.0;0.01;1.0;0.0
90;63.39;151.37;0.03;5.41;37.74;2012.34;0.4;1.48
91;54.35;154.42;0.06;4.86;65.37;413.63;0.09;4.04
92;53.75;237.61;0.05;5.04;53.67;2781.16;0.37;1.65
93;55.18;183.36;0.09;4.09;33.93;2279.93;0.31;2.32
94;57.53;223.94;0.07;4.39;43.87;1950.14;0.31;2.08
95;58.42;218.32;0.06;4.55;51.32;2313.33;0.3;2.88
96;53.41;246.01;0.06;4.51;49.85;2225.79;0.27;3.13
97;54.08;298.77;0.07;4.42;35.71;1598.02;0.26;3.52
98;42.58;114.86;0.36;2.1;83.28;791.23;0.49;1.35
99;39.19;225.82;0.23;3.0;51.76;2059.69;0.26;3.54
100;56.21;250.87;0.12;3.51;35.48;748.54;0.27;3.27
101;61.2;141.41;0.02;5.61;75.55;520.21;0.26;3.81
102;59.8;251.11;0.05;4.84;91.13;747.86;0.08;4.37
103;60.54;114.38;0.05;4.68;70.6;179.07;0.28;3.22
104;60.56;665.33;0.13;4.08;46.53;2714.79;0.28;3.14
105;45.82;116.45;0.06;4.44;45.83;1179.41;0.27;3.12
106;60.67;212.42;0.05;4.86;56.91;3127.04;0.33;2.08
107;58.82;322.07;0.06;5.04;38.48;1679.9;0.26;3.71
108;59.65;263.58;0.05;4.8;55.59;2779.19;0.34;1.88
109;62.21;78.28;0.05;4.76;48.1;1408.37;0.28;2.71
110;68.86;333.54;0.05;4.82;61.87;4942.64;0.45;1.24
111;61.07;414.27;0.03;5.52;37.5;2232.75;0.25;4.06
112;53.08;462.35;0.06;4.58;67.74;564.25;0.37;2.22
113;48.12;78.51;0.08;4.42;43.13;1052.43;0.36;1.78
114;56.91;204.98;0.06;4.76;81.49;234.63;0.03;5.84
115;51.3;279.73;0.06;4.58;68.7;437.93;0.27;3.34
116;62.54;403.39;0.03;5.26;41.85;2885.79;0.26;3.81
